STATUS;VALID_ON;LOT_TYPE_FK;IDE_POSITION_REF;CDE_C013;PRD_PRODUCT;CDE_REP_PRUD_NONBANK;TYP_PL_CLASS_BE;TYP_HEDGING;AUDIT_INFO;TYP_AMORTISATION_BE
5;20231231;1;PRL_4111100;;;;;;;
5;20231231;1;PRL_4112410;;;;;;;1
5;20231231;1;PRL_4112420;;;;;;;1
5;20231231;1;PRL_4112421;;;;;;;1
5;20231231;1;PRL_4112430;;;;;;;1
5;20231231;1;PRL_4112440;;;;;;;1
5;20231231;1;PRL_4112480;;;;;;;1
5;20231231;1;PRL_4112491;;;;;;;1
5;20231231;1;PRL_4112492;;;;;;;1
5;20231231;1;PRL_4112493;;;;;;;1
5;20231231;1;PRL_4112494;;;;;;;1
5;20231231;1;PRL_4112510;;;;;;;
5;20231231;1;PRL_4112511;;;;;;;
5;20231231;1;PRL_4112512;;;;;;;
5;20231231;1;PRL_4112520;;;;;;;
5;20231231;1;PRL_4112521;;;;;;;
5;20231231;1;PRL_4112522;;;;;;;
5;20231231;1;PRL_4112530;;;;;;;
5;20231231;1;PRL_4112531;;;;;;;
5;20231231;1;PRL_4112540;;;;;;;
5;20231231;1;PRL_4112550;;;;;;;
5;20231231;1;PRL_4112580;;;;;;;
5;20231231;1;PRL_4112581;;;;;;;
5;20231231;1;PRL_4112591;;;;;;;
5;20231231;1;PRL_4112592;;;;;;;
5;20231231;1;PRL_4112593;;;;;;;
5;20231231;1;PRL_4112594;;;;;;;
5;20231231;1;PRL_4112595;;;;;;;
5;20231231;1;PRL_4112596;;;;;;;
5;20231231;1;PRL_4112610;;;;;;;
5;20231231;1;PRL_4112611;;;;;;;
5;20231231;1;PRL_4112620;;;;;;;
5;20231231;1;PRL_4112621;;;;;;;
5;20231231;1;PRL_4112622;;;;;;;
5;20231231;1;PRL_4112630;;;;;;;
5;20231231;1;PRL_4112631;;;;;;;
5;20231231;1;PRL_4112640;;;;;;;
5;20231231;1;PRL_4112650;;;;;;;
5;20231231;1;PRL_4112680;;;;;;;
5;20231231;1;PRL_4112681;;;;;;;
5;20231231;1;PRL_4112691;;;;;;;
5;20231231;1;PRL_4112692;;;;;;;
5;20231231;1;PRL_4112693;;;;;;;
5;20231231;1;PRL_4112694;;;;;;;
5;20231231;1;PRL_4112695;;;;;;;
5;20231231;1;PRL_4112696;;;;;;;
5;20231231;1;PRL_4114210;;;;;;;
5;20231231;1;PRL_4114215;;;;;;;
5;20231231;1;PRL_4114222;;;;;;;
5;20231231;1;PRL_4114225;;;;;;;
5;20231231;1;PRL_4132200;;;;;;;
5;20231231;1;PRL_4132420;;;;;;;
5;20231231;1;PRL_4132430;;;;;;;
5;20231231;1;PRL_4132450;;;;;;;
5;20231231;1;PRL_4132460;;;;;;;
5;20231231;1;PRL_4132470;;;;;;;
5;20231231;1;PRL_4161210;;;;;;;
5;20231231;1;PRL_4161220;;;;;;;
5;20231231;1;PRL_4164100;;;;;;;
5;20231231;1;PRL_4164200;;;;;;;
5;20231231;1;PRL_4164300;;;;;;;
5;20231231;1;PRL_4172110;;;;;;;
5;20231231;1;PRL_4172120;;;;;;;
5;20231231;1;PRL_4172121;;;;;;;
5;20231231;1;PRL_4172130;;;;;;;
5;20231231;1;PRL_4172131;;;;;;;
5;20231231;1;PRL_4172140;;;;;;;
5;20231231;1;PRL_4172210;;;;;;;
5;20231231;1;PRL_4172220;;;;;;;
5;20231231;1;PRL_4172221;;;;;;;
5;20231231;1;PRL_4172230;;;;;;;
5;20231231;1;PRL_4172231;;;;;;;
5;20231231;1;PRL_4172300;;;;;;;
5;20231231;1;PRL_4172400;;;;;;;
5;20231231;1;PRL_4172500;;;;;;;
5;20231231;1;PRL_4172800;;;;;;;
5;20231231;1;PRL_4172850;;;;;;;
5;20231231;1;PRL_4172860;;;;;;;
5;20231231;1;PRL_4172870;;;;;;;
5;20231231;1;PRL_4172880;;;;;;;
5;20231231;1;PRL_4172890;;;;;;;
5;20231231;1;PRL_4172900;;;;;;;
5;20231231;1;PRL_4181000;;;;;;;
5;20231231;1;PRL_4182000;;;;;;;
5;20231231;1;PRL_4250000;;;;;;;
5;20231231;1;PRL_4301000;;;;;;;
5;20231231;1;PRL_4302000;;;;;;;
5;20231231;1;PRL_4303000;;;;;;;
5;20231231;1;PRL_4520000;;;;;;;
5;20231231;1;PRL_5111110;;;;;;;
5;20231231;1;PRL_5111120;;;;;;;
5;20231231;1;PRL_5111200;;;;;;;
5;20231231;1;PRL_5111210;;;;;;;
5;20231231;1;PRL_5112210;;;;;;;
5;20231231;1;PRL_5112220;;;;;;;
5;20231231;1;PRL_5112221;;;;;;;
5;20231231;1;PRL_5112222;;;;;;;
5;20231231;1;PRL_5112223;;;;;;;
5;20231231;1;PRL_5112230;;;;;;;
5;20231231;1;PRL_5112240;;;;;;;
5;20231231;1;PRL_5112250;;;;;;;
5;20231231;1;PRL_5112251;;;;;;;
5;20231231;1;PRL_5112252;;;;;;;
5;20231231;1;PRL_5112253;;;;;;;
5;20231231;1;PRL_5112255;;;;;;;
5;20231231;1;PRL_5112257;;;;;;;
5;20231231;1;PRL_5112258;;;;;;;
5;20231231;1;PRL_5112260;;;;;;;
5;20231231;1;PRL_5112261;;;;;;;
5;20231231;1;PRL_5112262;;;;;;;
5;20231231;1;PRL_5112263;;;;;;;
5;20231231;1;PRL_5112265;;;;;;;
5;20231231;1;PRL_5112267;;;;;;;
5;20231231;1;PRL_5112268;;;;;;;
5;20231231;1;PRL_5112270;;;;;;;
5;20231231;1;PRL_5112272;;;;;;;
5;20231231;1;PRL_5112273;;;;;;;
5;20231231;1;PRL_5112274;;;;;;;
5;20231231;1;PRL_5112275;;;;;;;
5;20231231;1;PRL_5112277;;;;;;;
5;20231231;1;PRL_5112278;;;;;;;
5;20231231;1;PRL_5112280;;;;;;;
5;20231231;1;PRL_5112281;;;;;;;
5;20231231;1;PRL_5112282;;;;;;;
5;20231231;1;PRL_5112283;;;;;;;
5;20231231;1;PRL_5112284;;;;;;;
5;20231231;1;PRL_5112285;;;;;;;
5;20231231;1;PRL_5112287;;;;;;;
5;20231231;1;PRL_5112288;;;;;;;
5;20231231;1;PRL_5112290;;;;;;;
5;20231231;1;PRL_5112291;;;;;;;
5;20231231;1;PRL_5112292;;;;;;;
5;20231231;1;PRL_5112293;;;;;;;
5;20231231;1;PRL_5112294;;;;;;;
5;20231231;1;PRL_5112295;;;;;;;
5;20231231;1;PRL_5112296;;;;;;;
5;20231231;1;PRL_5112300;;;;;;;
5;20231231;1;PRL_5112301;;;;;;;
5;20231231;1;PRL_5112306;;;;;;;
5;20231231;1;PRL_5112307;;;;;;;
5;20231231;1;PRL_5112308;;;;;;;
5;20231231;1;PRL_5112309;;;;;;;
5;20231231;1;PRL_5112410;;;;;;;
5;20231231;1;PRL_5112419;;;;;;;
5;20231231;1;PRL_5112420;;;;;;;
5;20231231;1;PRL_5112480;;;;;;;
5;20231231;1;PRL_5112490;;;;;;;
5;20231231;1;PRL_5112500;;;;;;;
5;20231231;1;PRL_5113110;;;;;;;
5;20231231;1;PRL_5113120;;;;;;;
5;20231231;1;PRL_5113130;;;;;;;
5;20231231;1;PRL_5113135;;;;;;;
5;20231231;1;PRL_5113140;;;;;;;
5;20231231;1;PRL_5113150;;;;;;;
5;20231231;1;PRL_5113160;;;;;;;
5;20231231;1;PRL_5113165;;;;;;;
5;20231231;1;PRL_5113170;;;;;;;
5;20231231;1;PRL_5113191;;;;;;;
5;20231231;1;PRL_5113192;;;;;;;
5;20231231;1;PRL_5113193;;;;;;;
5;20231231;1;PRL_5113194;;;;;;;
5;20231231;1;PRL_5113195;;;;;;;
5;20231231;1;PRL_5113196;;;;;;;
5;20231231;1;PRL_5113197;;;;;;;
5;20231231;1;PRL_5113210;;;;;;;
5;20231231;1;PRL_5113211;;;;;;;
5;20231231;1;PRL_5113220;;;;;;;
5;20231231;1;PRL_5113230;;;;;;;
5;20231231;1;PRL_5113240;;;;;;;
5;20231231;1;PRL_5113250;;;;;;;
5;20231231;1;PRL_5113260;;;;;;;
5;20231231;1;PRL_5113270;;;;;;;
5;20231231;1;PRL_5113291;;;;;;;
5;20231231;1;PRL_5113292;;;;;;;
5;20231231;1;PRL_5113293;;;;;;;
5;20231231;1;PRL_5113294;;;;;;;
5;20231231;1;PRL_5113295;;;;;;;
5;20231231;1;PRL_5113296;;;;;;;
5;20231231;1;PRL_5113297;;;;;;;
5;20231231;1;PRL_5113298;;;;;;;
5;20231231;1;PRL_5113299;;;;;;;
5;20231231;1;PRL_5114000;;;;;;;
5;20231231;1;PRL_5122100;;;;;;;
5;20231231;1;PRL_5122310;;;;;;;
5;20231231;1;PRL_5122320;;;;;;;
5;20231231;1;PRL_5122330;;;;;;;
5;20231231;1;PRL_5122340;;;;;;;
5;20231231;1;PRL_5122350;;;;;;;
5;20231231;1;PRL_5122355;;;;;;;
5;20231231;1;PRL_5122360;;;;;;;
5;20231231;1;PRL_5122365;;;;;;;
5;20231231;1;PRL_5122390;;;;;;;
5;20231231;1;PRL_5122391;;;;;;;
5;20231231;1;PRL_5122392;;;;;;;
5;20231231;1;PRL_5122440;;;;;;;
5;20231231;1;PRL_5141100;;;;;;;
5;20231231;1;PRL_5141200;;;;;;;
5;20231231;1;PRL_5141220;;;;;;;
5;20231231;1;PRL_5141300;;;;;;;
5;20231231;1;PRL_5141350;;;;;;;
5;20231231;1;PRL_5141400;;;;;;;
5;20231231;1;PRL_5142100;;;;;;;
5;20231231;1;PRL_5142200;;;;;;;
5;20231231;1;PRL_5142300;;;;;;;
5;20231231;1;PRL_5142310;;;;;;;
5;20231231;1;PRL_5143000;;;;;;;
5;20231231;1;PRL_5143100;;;;;;;
5;20231231;1;PRL_5143200;;;;;;;
5;20231231;1;PRL_5144100;;;;;;;
5;20231231;1;PRL_5144200;;;;;;;
5;20231231;1;PRL_5144300;;;;;;;
5;20231231;1;PRL_5144500;;;;;;;
5;20231231;1;PRL_5144600;;;;;;;
5;20231231;1;PRL_5144610;;;;;;;
5;20231231;1;PRL_5144620;;;;;;;
5;20231231;1;PRL_5145000;;;;;;;
5;20231231;1;PRL_5151100;;;;;;;
5;20231231;1;PRL_5151110;;;;;;;
5;20231231;1;PRL_5151120;;;;;;;
5;20231231;1;PRL_5151150;;;;;;;
5;20231231;1;PRL_5151210;;;;;;;
5;20231231;1;PRL_5152210;;;;;;;
5;20231231;1;PRL_5152211;;;;;;;
5;20231231;1;PRL_5152220;;;;;;;
5;20231231;1;PRL_5152230;;;;;;;
5;20231231;1;PRL_5162110;;;;;;;
5;20231231;1;PRL_5162120;;;;;;;
5;20231231;1;PRL_5162130;;;;;;;
5;20231231;1;PRL_5162210;;;;;;;
5;20231231;1;PRL_5162230;;;;;;;
5;20231231;1;PRL_5162240;;;;;;;
5;20231231;1;PRL_5162311;;;;;;;
5;20231231;1;PRL_5162312;;;;;;;
5;20231231;1;PRL_5162313;;;;;;;
5;20231231;1;PRL_5162314;;;;;;;
5;20231231;1;PRL_5162315;;;;;;;
5;20231231;1;PRL_5162321;;;;;;;
5;20231231;1;PRL_5162322;;;;;;;
5;20231231;1;PRL_5162323;;;;;;;
5;20231231;1;PRL_5162324;;;;;;;
5;20231231;1;PRL_5162325;;;;;;;
5;20231231;1;PRL_5162326;;;;;;;
5;20231231;1;PRL_5162327;;;;;;;
5;20231231;1;PRL_5162328;;;;;;;
5;20231231;1;PRL_5162329;;;;;;;
5;20231231;1;PRL_5162330;;;;;;;
5;20231231;1;PRL_5162331;;;;;;;
5;20231231;1;PRL_5162332;;;;;;;
5;20231231;1;PRL_5162341;;;;;;;
5;20231231;1;PRL_5162342;;;;;;;
5;20231231;1;PRL_5162343;;;;;;;
5;20231231;1;PRL_5162344;;;;;;;
5;20231231;1;PRL_5162351;;;;;;;
5;20231231;1;PRL_5162352;;;;;;;
5;20231231;1;PRL_5162357;;;;;;;
5;20231231;1;PRL_5162360;;;;;;;
5;20231231;1;PRL_5162361;;;;;;;
5;20231231;1;PRL_5162362;;;;;;;
5;20231231;1;PRL_5162363;;;;;;;
5;20231231;1;PRL_5162364;;;;;;;
5;20231231;1;PRL_5162365;;;;;;;
5;20231231;1;PRL_5162366;;;;;;;
5;20231231;1;PRL_5162367;;;;;;;
5;20231231;1;PRL_5162368;;;;;;;
5;20231231;1;PRL_5162369;;;;;;;
5;20231231;1;PRL_5162370;;;;;;;
5;20231231;1;PRL_5162371;;;;;;;
5;20231231;1;PRL_5162372;;;;;;;
5;20231231;1;PRL_5162373;;;;;;;
5;20231231;1;PRL_5162374;;;;;;;
5;20231231;1;PRL_5162375;;;;;;;
5;20231231;1;PRL_5162376;;;;;;;
5;20231231;1;PRL_5162377;;;;;;;
5;20231231;1;PRL_5162378;;;;;;;
5;20231231;1;PRL_5162379;;;;;;;
5;20231231;1;PRL_5162380;;;;;;;
5;20231231;1;PRL_5162381;;;;;;;
5;20231231;1;PRL_5162382;;;;;;;
5;20231231;1;PRL_5162383;;;;;;;
5;20231231;1;PRL_5162384;;;;;;;
5;20231231;1;PRL_5162385;;;;;;;
5;20231231;1;PRL_5162386;;;;;;;
5;20231231;1;PRL_5162387;;;;;;;
5;20231231;1;PRL_5162388;;;;;;;
5;20231231;1;PRL_5162389;;;;;;;
5;20231231;1;PRL_5162390;;;;;;;
5;20231231;1;PRL_5162391;;;;;;;
5;20231231;1;PRL_5162392;;;;;;;
5;20231231;1;PRL_5162393;;;;;;;
5;20231231;1;PRL_5162394;;;;;;;
5;20231231;1;PRL_5162395;;;;;;;
5;20231231;1;PRL_5162396;;;;;;;
5;20231231;1;PRL_5162397;;;;;;;
5;20231231;1;PRL_5162430;;;;;;;
5;20231231;1;PRL_5162440;;;;;;;
5;20231231;1;PRL_5171110;;;;;;;
5;20231231;1;PRL_5171120;;;;;;;
5;20231231;1;PRL_5171200;;;;;;;
5;20231231;1;PRL_5171210;;;;;;;
5;20231231;1;PRL_5174300;;;;;;;
5;20231231;1;PRL_5181000;;;;;;;
5;20231231;1;PRL_5182000;;;;;;;
5;20231231;1;PRL_5241010;;;;;;;
5;20231231;1;PRL_5241020;;;;;;;
5;20231231;1;PRL_5250000;;;;;;;
5;20231231;1;PRL_5251000;;;;;;;
5;20231231;1;PRL_5310000;;;;;;;
5;20231231;1;PRL_5311000;;;;;;;
5;20231231;1;PRL_5312000;;;;;;;
5;20231231;1;PRL_5313000;;;;;;;
5;20231231;1;PRL_5314000;;;;;;;
5;20231231;1;PRL_5320000;;;;;;;
5;20231231;1;PRL_5400000;;;;;;;
5;20231231;1;PRL_5520000;;;;;;;
5;20231231;1;PRL_5600000;;;;;;;
